iter	Passed	Remaining
169	2866	13995
170	2882	13973
171	2897	13948
172	2913	13927
173	2928	13903
174	2944	13881
175	2960	13858
176	2975	13834
177	2991	13812
178	3008	13797
179	3026	13786
180	3041	13762
181	3057	13743
182	3073	13719
183	3088	13695
184	3103	13673
185	3119	13650
186	3135	13632
187	3151	13612
188	3168	13596
189	3185	13582
190	3203	13567
191	3220	13554
192	3238	13542
193	3256	13528
194	3274	13517
195	3292	13505
196	3318	13525
197	3341	13536
198	3364	13542
199	3388	13555
200	3407	13545
201	3425	13532
202	3441	13513
203	3470	13539
204	3489	13533
205	3513	13541
206	3541	13567
207	3564	13573
208	3587	13578
209	3610	13582
210	3637	13602
211	3661	13607
212	3683	13611
213	3706	13614
214	3728	13614
215	3751	13617
216	3775	13623
217	3798	13627
218	3823	13636
219	3848	13643
220	3867	13632
221	3889	13630
222	3913	13635
223	3931	13620
224	3949	13604
225	3967	13589
226	3985	13572
227	4004	13558
228	4022	13543
229	4039	13524
230	4055	13501
231	4076	13495
232	4093	13476
233	4109	13452
234	4127	13437
235	4145	13418
236	4162	13401
237	4179	13381
238	4194	13356
239	4212	13339
240	4229	13320
241	4248	13307
242	4264	13285
243	4285	13278
244	4301	13255
245	4319	13239
246	4336	13219
247	4352	13198
248	4369	13178
249	4385	13157
250	4405	13145
251	4420	13121
252	4435	13097
253	4451	13074
254	4467	13051
255	4483	13029
256	4499	13008
257	4514	12984
258	4534	12972
259	4550	12951
260	4576	12957
261	4591	12934
262	4607	12910
263	4627	12900
264	4648	12892
265	4665	12874
266	4682	12856
267	4709	12863
268	4726	12843
269	4741	12820
270	4758	12801
271	4776	12784
272	4794	12766
273	4809	12744
274	4828	12729
275	4846	12714
276	4862	12690
277	4881	12678
278	4898	12658
279	4918	12647
280	4935	12629
281	4955	12618
282	4973	12601
283	4991	12584
284	5016	12584
285	5034	12567
286	5051	12549
287	5069	12532
288	5090	12524
289	5120	12537
290	5143	12531
291	5175	12549
292	5199	12546
293	5224	12544
294	5265	12583
295	5289	12580
296	5312	12574
297	5335	12569
298	5359	12565
299	5403	12608
300	5434	12621
301	5465	12632
302	5490	12629
303	5516	12630
304	5538	12620
305	5557	12604
306	5576	12588
307	5594	12569
308	5613	12553
309	5633	12539
310	5652	12523
311	5673	12511
312	5692	12494
313	5710	12475
314	5728	12458
315	5747	12440
316	5766	12424
317	5783	12404
318	5801	12384
319	5817	12362
320	5836	12344
321	5851	12320
322	5866	12296
323	5882	12272
324	5899	12252
325	5915	12229
326	5930	12206
327	5949	12189
328	5965	12166
329	5982	12145
330	5998	12123
331	6015	12103
332	6031	12080
333	6049	12062
334	6064	12039
335	6080	12017
336	6096	11994
337	6113	11973
338	6130	11952
339	6145	11930
340	6161	11907
341	6176	11883
342	6192	11860
343	6207	11837
344	6222	11814
345	6239	11793
346	6255	11772
347	6271	11749
348	6286	11726
349	6302	11704
350	6317	11681
351	6334	11660
352	6349	11638
353	6364	11615
354	6381	11594
355	6398	11575
356	6415	11555
357	6431	11533
358	6447	11512
359	6463	11491
360	6478	11467
361	6494	11445
362	6513	11429
363	6535	11419
364	6554	11402
365	6571	11383
366	6589	11365
367	6609	11351
368	6627	11333
369	6644	11314
370	6664	11299
371	6689	11292
372	6707	11275
373	6726	11258
374	6744	11240
375	6761	11221
376	6779	11203
377	6797	11184
378	6832	11195
379	6849	11176
380	6868	11159
381	6884	11138
382	6901	11118
383	6917	11097
384	6935	11078
385	6950	11056
386	6967	11035
387	6983	11014
388	6999	10993
389	7014	10971
390	7031	10951
391	7047	10930
392	7062	10908
393	7077	10886
394	7093	10864
395	7109	10843
396	7124	10822
397	7141	10801
398	7156	10780
399	7171	10757
400	7189	10739
401	7206	10720
402	7224	10702
403	7242	10685
404	7261	10667
405	7279	10649
